,,,Treatment,,Plant Ratings CLS (%),
2,252,30,Ruby-Queen,CRC023,0,0
2,253,1,Viroflay,None,0,0
2,254,33,Viroflay,CRC024,5,15
2,255,56,Silverado,CRC028,0,0
2,256,16,Silverado,CRC021,0,0
3,301,2,SV2157VB,None,0,0
3,302,28,Unipack-151,CRC023,0,1
3,303,45,KDH4-9,CRC026,0,0
3,304,38,Ruby-Queen,CRC024,0,0
3,305,15,Red-Ace,CRC021,0,0
3,306,54,Ruby-Queen,CRC028,0,0
3,307,47,Red-Ace,CRC026,0,0
3,308,4,Unipack-151,None,0,0
3,309,11,Mandolin,CRC021,1,3
3,310,31,Red-Ace,CRC023,0,0
3,311,6,Ruby-Queen,None,0,0
3,312,7,Red-Ace,None,0,0
3,313,10,SV2157VB,CRC021,0,5
3,314,5,KDH4-9,None,0,0
3,315,36,Unipack-151,CRC024,0,1
3,316,30,Ruby-Queen,CRC023,0,0
3,317,46,Ruby-Queen,CRC026,0,0
3,318,42,SV2157VB,CRC026,1,10
3,319,39,Red-Ace,CRC024,0,0
3,320,35,Mandolin,CRC024,0,5
3,321,24,Silverado,CRC022,0,0
3,322,37,KDH4-9,CRC024,0,0
3,323,16,Silverado,CRC021,0,0
3,324,22,Ruby-Queen,CRC022,0,0
3,325,20,Unipack-151,CRC022,0,1
3,326,43,Mandolin,CRC026,0,5
3,327,9,Viroflay,CRC021,0,15
3,328,3,Mandolin,None,0,0
3,329,19,Mandolin,CRC022,1,10
3,330,50,SV2157VB,CRC028,3,20
3,331,48,Silverado,CRC026,0,0
3,332,8,Silverado,None,0,0
3,333,44,Unipack-151,CRC026,0,0
3,334,41,Viroflay,CRC026,0,1
3,335,23,Red-Ace,CRC022,0,0
3,336,1,Viroflay,None,0,0
3,337,25,Viroflay,CRC023,0,5
3,338,26,SV2157VB,CRC023,0,30
3,339,27,Mandolin,CRC023,1,25
3,340,40,Silverado,CRC024,0,0
3,341,21,KDH4-9,CRC022,0,0
3,342,29,KDH4-9,CRC023,0,0
3,343,51,Mandolin,CRC028,0,3
3,344,12,Unipack-151,CRC021,0,5
3,345,34,SV2157VB,CRC024,0,30
3,346,13,KDH4-9,CRC021,0,0
3,347,55,Red-Ace,CRC028,0,0
3,348,14,Ruby-Queen,CRC021,0,0
3,349,33,Viroflay,CRC024,0,10
3,350,56,Silverado,CRC028,0,0
3,351,32,Silverado,CRC023,0,0
3,352,53,KDH4-9,CRC028,0,0
3,353,18,SV2157VB,CRC022,5,15
3,354,49,Viroflay,CRC028,3,10
3,355,17,Viroflay,CRC022,0,7
3,356,52,Unipack-151,CRC028,0,5
4,401,30,Ruby-Queen,CRC023,0,0
4,402,56,Silverado,CRC028,0,0
4,403,12,Unipack-151,CRC021,0,3
4,404,13,KDH4-9,CRC021,0,0
4,405,40,Silverado,CRC024,0,0
4,406,47,Red-Ace,CRC026,0,0
4,407,28,Unipack-151,CRC023,0,1
4,408,23,Red-Ace,CRC022,0,0
4,409,8,Silverado,None,0,0
4,410,46,Ruby-Queen,CRC026,0,0
4,411,24,Silverado,CRC022,0,0
4,412,41,Viroflay,CRC026,0,15
4,413,2,SV2157VB,None,0,0
4,414,27,Mandolin,CRC023,0,3
4,415,7,Red-Ace,None,0,0
4,416,33,Viroflay,CRC024,0,3
4,417,34,SV2157VB,CRC024,0,15
4,418,39,Red-Ace,CRC024,0,0
4,419,42,SV2157VB,CRC026,0,10
4,420,48,Silverado,CRC026,0,0
4,421,32,Silverado,CRC023,0,0
4,422,53,KDH4-9,CRC028,0,0
4,423,5,KDH4-9,None,0,0
4,424,54,Ruby-Queen,CRC028,0,0
4,425,3,Mandolin,None,0,0
4,426,31,Red-Ace,CRC023,0,0
4,427,19,Mandolin,CRC022,3,20
4,428,17,Viroflay,CRC022,0,25
4,429,29,KDH4-9,CRC023,0,0
4,430,52,Unipack-151,CRC028,0,1
4,431,49,Viroflay,CRC028,0,5
4,432,35,Mandolin,CRC024,0,3
4,433,26,SV2157VB,CRC023,0,15
4,434,9,Viroflay,CRC021,0,15
4,435,45,KDH4-9,CRC026,0,0
4,436,25,Viroflay,CRC023,0,3
4,437,10,SV2157VB,CRC021,3,20
4,438,22,Ruby-Queen,CRC022,0,0
4,439,21,KDH4-9,CRC022,0,0
4,440,15,Red-Ace,CRC021,0,0
4,441,18,SV2157VB,CRC022,0,30
4,442,55,Red-Ace,CRC028,0,0
4,443,44,Unipack-151,CRC026,0,5
4,444,14,Ruby-Queen,CRC021,0,0
4,445,1,Viroflay,None,0,0
4,446,11,Mandolin,CRC021,0,10
4,447,43,Mandolin,CRC026,1,15
4,448,50,SV2157VB,CRC028,1,15
4,449,37,KDH4-9,CRC024,0,0
4,450,36,Unipack-151,CRC024,0,7
4,451,51,Mandolin,CRC028,0,7
4,452,6,Ruby-Queen,None,0,0
4,453,38,Ruby-Queen,CRC024,0,0
4,454,16,Silverado,CRC021,0,0
4,455,20,Unipack-151,CRC022,0,10
4,456,4,Unipack-151,None,0,0
